machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;222965
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;640
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;8509
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;39075
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;222469
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;544
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;13348
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;43912
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;222629
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1878
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4767
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;25213
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;220414
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;619
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;18291
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;66754
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;315694
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;586
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4878
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;29768
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;208396
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;549
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4433
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;28120
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;219443
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1907
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;13487
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;56416
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;274541
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;617
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4869
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;31359
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;251723
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;543
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5298
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;51392
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;217291
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;653
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5029
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;24905
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;212840
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3128703
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;612
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4477
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;22716
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;283554
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3258537
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;682
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4679
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;45942
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;217661
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3448513
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1685
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;6909
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;28295
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;238479
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3355666
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;607
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;6420
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;51620
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;254069
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3251562
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;647
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;12013
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;50466
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;269098
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3238709
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;817
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;20817
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;57730
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;275022
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3317354
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;618
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;6621
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;43859
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;249993
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3436725
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;687
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5195
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;23999
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;238853
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3652770
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1692
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;10278
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;70296
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;267911
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;5193669
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;610
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5069
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;32711
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;241251
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3399434
